,date,symbol,open,close,low,high,volume
0,05-01-2016 00:00,WLTW,123.43,125.839996,122.309998,126.25,2163600
1,06-01-2016 00:00,WLTW,125.239998,119.980003,119.940002,125.540001,2386400
2,07-01-2016 00:00,WLTW,116.379997,114.949997,114.93,119.739998,2489500
3,08-01-2016 00:00,WLTW,115.480003,116.620003,113.5,117.440002,2006300
4,11-01-2016 00:00,WLTW,117.010002,114.970001,114.089996,NA,1408600
5,12-01-2016 00:00,WLTW,115.510002,115.550003,114.5,116.059998,1098000
6,13-01-2016 00:00,WLTW,116.459999,112.849998,112.589996,117.07,949600
7,14-01-2016 00:00,WLTW,113.510002,114.379997,110.050003,115.029999,785300
8,15-01-2016 00:00,WLTW,113.330002,112.529999,111.919998,114.879997,1093700
9,19-01-2016 00:00,WLTW,113.660004,110.379997,109.870003,115.870003,1523500
10,20-01-2016 00:00,WLTW,109.059998,109.300003,108.32,NA,1653900
11,21-01-2016 00:00,WLTW,109.730003,110,108.32,110.580002,944300
12,22-01-2016 00:00,WLTW,111.879997,111.949997,110.190002,112.949997,744900
13,25-01-2016 00:00,WLTW,111.32,110.120003,110,114.629997,703800
14,26-01-2016 00:00,WLTW,110.419998,111,107.300003,111.400002,563100
15,27-01-2016 00:00,WLTW,110.769997,110.709999,109.019997,112.57,896100
16,28-01-2016 00:00,WLTW,110.900002,NA,109.900002,112.970001,680400
17,29-01-2016 00:00,WLTW,113.349998,114.470001,111.669998,114.589996,749900
18,01-02-2016 00:00,WLTW,114,114.5,112.900002,114.849998,574200
19,02-02-2016 00:00,WLTW,113.25,110.559998,109.75,NA,694800
20,03-02-2016 00:00,WLTW,113.379997,114.050003,109.639999,114.639999,896300
21,04-02-2016 00:00,WLTW,114.080002,115.709999,114.080002,116.32,956300
22,05-02-2016 00:00,WLTW,115.120003,114.019997,109.709999,116.489998,997100
23,08-02-2016 00:00,WLTW,113.300003,111.160004,110.459999,113.300003,1200500
24,09-02-2016 00:00,WLTW,111.169998,110.650002,109.639999,112.110001,1725200
25,10-02-2016 00:00,WLTW,106.730003,107.519997,106.360001,112.110001,1946000
26,11-02-2016 00:00,WLTW,105.629997,107.129997,104.110001,109.260002,1319500
27,12-02-2016 00:00,WLTW,108.559998,107.839996,107.07,109.43,922400
28,16-02-2016 00:00,WLTW,109.110001,110.769997,107.010002,111.300003,1185100
29,17-02-2016 00:00,WLTW,110.830002,111.239998,107.970001,112.110001,921500
30,18-02-2016 00:00,WLTW,111.120003,111.599998,108.93,112.199997,440900
31,19-02-2016 00:00,WLTW,111.370003,110.330002,107.279999,112.400002,1244300
32,22-02-2016 00:00,WLTW,111.360001,113.040001,111.010002,113.230003,681300
33,23-02-2016 00:00,WLTW,112.370003,111.889999,111.349998,112.800003,411200
34,24-02-2016 00:00,WLTW,110.769997,111.559998,109.82,112.489998,447300
35,25-02-2016 00:00,WLTW,111.599998,112.879997,110.75,112.989998,559200
36,26-02-2016 00:00,WLTW,113.339996,112.75,111.010002,114.18,459900
37,29-02-2016 00:00,WLTW,113.040001,113.32,111.650002,115.360001,971600
38,01-03-2016 00:00,WLTW,114.269997,115.510002,112.650002,115.57,694100
39,02-03-2016 00:00,WLTW,115.349998,116.779999,115.199997,117.089996,1159600
40,03-03-2016 00:00,WLTW,116.489998,117,115.419998,117.669998,884700
41,04-03-2016 00:00,WLTW,116.610001,117.190002,115.57,117.480003,692000
42,07-03-2016 00:00,WLTW,116.050003,116.949997,115.989998,117.480003,898000
43,08-03-2016 00:00,WLTW,116.5,116.709999,115.449997,117.370003,844500
44,09-03-2016 00:00,WLTW,117.050003,116.489998,115.5,117.309998,796500
45,10-03-2016 00:00,WLTW,116.910004,116.82,114.139999,118,416800
46,11-03-2016 00:00,WLTW,117.93,120.620003,116.629997,120.760002,590200
47,14-03-2016 00:00,WLTW,120.419998,120.629997,118.599998,121.040001,495100
48,15-03-2016 00:00,WLTW,119.839996,120.699997,118.089996,120.760002,515800
49,16-03-2016 00:00,WLTW,120.349998,120.82,119.010002,121.040001,562100
